Local Authority District code (2019),Local Authority District name (2019),Crime - Average rank ,,Decile
E06000001,Hartlepool,"22,855.72",0.9,10
E06000002,Middlesbrough,"23,671.36",0.9,10
E06000003,Redcar and Cleveland,"18,035.47",0.6,7
E06000004,Stockton-on-Tees,"14,933.36",0.5,6
E06000005,Darlington,"22,802.29",0.9,10
E06000006,Halton,"19,691.22",0.7,8
E06000007,Warrington,"14,828.34",0.5,6
E06000008,Blackburn with Darwen,"21,336.20",0.8,9
E06000009,Blackpool,"24,196.98",0.9,10
E06000010,"Kingston upon Hull, City of","25,816.06",0.9,10
E06000011,East Riding of Yorkshire,"10,256.91",0.2,3
E06000012,North East Lincolnshire,"20,941.56",0.8,9
E06000013,North Lincolnshire,"17,341.69",0.6,7
E06000014,York,"8,006.47",0.1,2
E06000015,Derby,"15,492.88",0.5,6
E06000016,Leicester,"22,146.30",0.8,9
E06000017,Rutland,"3,559.10",0,1
E06000018,Nottingham,"22,092.52",0.8,9
E06000019,"Herefordshire, County of","9,163.62",0.2,3
E06000020,Telford and Wrekin,"18,532.64",0.7,8
E06000021,Stoke-on-Trent,"22,608.27",0.8,9
E06000022,Bath and North East Somerset,"13,055.50",0.3,4
E06000023,"Bristol, City of","25,522.93",0.9,10
E06000024,North Somerset,"14,037.32",0.4,5
E06000025,South Gloucestershire,"13,566.69",0.4,5
E06000026,Plymouth,"16,113.51",0.5,6
E06000027,Torbay,"16,344.95",0.6,7
E06000030,Swindon,"18,875.41",0.7,8
E06000031,Peterborough,"22,746.52",0.8,9
E06000032,Luton,"21,514.19",0.8,9
E06000033,Southend-on-Sea,"18,668.61",0.7,8
E06000034,Thurrock,"19,973.97",0.7,8
E06000035,Medway,"22,630.51",0.8,9
E06000036,Bracknell Forest,"6,719.35",0,1
E06000037,West Berkshire,"8,333.28",0.1,2
E06000038,Reading,"17,778.12",0.6,7
E06000039,Slough,"21,892.70",0.8,9
E06000040,Windsor and Maidenhead,"10,325.37",0.2,3
E06000041,Wokingham,"5,309.27",0,1
E06000042,Milton Keynes,"14,700.06",0.4,5
E06000043,Brighton and Hove,"15,058.96",0.5,6
E06000044,Portsmouth,"23,830.88",0.9,10
E06000045,Southampton,"26,616.97",0.9,10
E06000046,Isle of Wight,"13,865.10",0.4,5
E06000047,County Durham,"19,540.73",0.7,8
E06000049,Cheshire East,"11,811.86",0.3,4
E06000050,Cheshire West and Chester,"12,973.78",0.3,4
E06000051,Shropshire,"9,485.40",0.2,3
E06000052,Cornwall,"8,140.28",0.1,2
E06000053,Isles of Scilly,"5,765.00",0,1
E06000054,Wiltshire,"9,875.94",0.2,3
E06000055,Bedford,"15,145.33",0.5,6
E06000056,Central Bedfordshire,"13,370.22",0.4,5
E06000057,Northumberland,"14,838.02",0.5,6
E06000058,"Bournemouth, Christchurch and Poole","15,058.29",0.5,6
E06000059,Dorset,"7,834.92",0.1,2
E07000004,Aylesbury Vale,"9,707.27",0.2,3
E07000005,Chiltern,"7,118.94",0.1,2
E07000006,South Bucks,"15,146.86",0.5,6
E07000007,Wycombe,"8,675.18",0.1,2
E07000008,Cambridge,"18,487.03",0.7,8
E07000009,East Cambridgeshire,"6,985.74",0.1,2
E07000010,Fenland,"15,854.12",0.5,6
E07000011,Huntingdonshire,"11,171.55",0.3,4
E07000012,South Cambridgeshire,"9,290.89",0.2,3
E07000026,Allerdale,"10,764.89",0.2,3
E07000027,Barrow-in-Furness,"11,784.31",0.3,4
E07000028,Carlisle,"13,785.51",0.4,5
E07000029,Copeland,"8,020.62",0.1,2
E07000030,Eden,"4,432.91",0,1
E07000031,South Lakeland,"4,876.49",0,1
E07000032,Amber Valley,"7,500.57",0.1,2
E07000033,Bolsover,"9,803.16",0.2,3
E07000034,Chesterfield,"8,823.18",0.1,2
E07000035,Derbyshire Dales,"3,749.87",0,1
E07000036,Erewash,"11,344.99",0.3,4
E07000037,High Peak,"7,952.89",0.1,2
E07000038,North East Derbyshire,"5,571.76",0,1
E07000039,South Derbyshire,"8,226.52",0.1,2
E07000040,East Devon,"5,736.96",0,1
E07000041,Exeter,"12,337.34",0.3,4
E07000042,Mid Devon,"5,860.20",0,1
E07000043,North Devon,"8,156.24",0.1,2
E07000044,South Hams,"4,780.12",0,1
E07000045,Teignbridge,"8,748.53",0.1,2
E07000046,Torridge,"6,230.65",0,1
E07000047,West Devon,"5,413.97",0,1
E07000061,Eastbourne,"15,876.62",0.5,6
E07000062,Hastings,"22,152.62",0.8,9
E07000063,Lewes,"9,989.08",0.2,3
E07000064,Rother,"11,060.86",0.2,3
E07000065,Wealden,"7,197.90",0.1,2
E07000066,Basildon,"20,920.80",0.8,9
E07000067,Braintree,"12,635.26",0.3,4
E07000068,Brentwood,"15,687.35",0.5,6
E07000069,Castle Point,"13,756.00",0.4,5
E07000070,Chelmsford,"13,407.92",0.4,5
E07000071,Colchester,"15,049.74",0.5,6
E07000072,Epping Forest,"20,774.47",0.8,9
E07000073,Harlow,"19,610.38",0.7,8
E07000074,Maldon,"8,376.69",0.1,2
E07000075,Rochford,"8,887.98",0.1,2
E07000076,Tendring,"18,201.40",0.6,7
E07000077,Uttlesford,"9,142.92",0.2,3
E07000078,Cheltenham,"14,708.26",0.4,5
E07000079,Cotswold,"4,309.42",0,1
E07000080,Forest of Dean,"6,734.11",0,1
E07000081,Gloucester,"13,985.07",0.4,5
E07000082,Stroud,"5,454.67",0,1
E07000083,Tewkesbury,"6,420.15",0,1
E07000084,Basingstoke and Deane,"14,692.25",0.4,5
E07000085,East Hampshire,"11,349.43",0.3,4
E07000086,Eastleigh,"13,494.16",0.4,5
E07000087,Fareham,"9,915.67",0.2,3
E07000088,Gosport,"20,693.41",0.7,8
E07000089,Hart,"8,929.92",0.1,2
E07000090,Havant,"19,427.72",0.7,8
E07000091,New Forest,"14,014.77",0.4,5
E07000092,Rushmoor,"16,231.71",0.5,6
E07000093,Test Valley,"11,234.16",0.3,4
E07000094,Winchester,"9,934.32",0.2,3
E07000095,Broxbourne,"17,449.37",0.6,7
E07000096,Dacorum,"15,835.30",0.5,6
E07000098,Hertsmere,"16,492.09",0.6,7
E07000099,North Hertfordshire,"11,828.63",0.3,4
E07000102,Three Rivers,"11,111.61",0.2,3
E07000103,Watford,"18,507.98",0.7,8
E07000105,Ashford,"17,531.67",0.6,7
E07000106,Canterbury,"17,509.18",0.6,7
E07000107,Dartford,"23,783.65",0.9,10
E07000108,Dover,"17,612.09",0.6,7
E07000109,Gravesham,"25,944.69",0.9,10
E07000110,Maidstone,"16,665.54",0.6,7
E07000111,Sevenoaks,"18,013.31",0.6,7
E07000112,Folkestone and Hythe,"15,877.60",0.5,6
E07000113,Swale,"22,284.86",0.8,9
E07000114,Thanet,"23,543.53",0.9,10
E07000115,Tonbridge and Malling,"14,319.67",0.4,5
E07000116,Tunbridge Wells,"11,290.39",0.3,4
E07000117,Burnley,"24,489.08",0.9,10
E07000118,Chorley,"13,741.65",0.4,5
E07000119,Fylde,"9,089.46",0.2,3
E07000120,Hyndburn,"21,933.80",0.8,9
E07000121,Lancaster,"16,466.55",0.6,7
E07000122,Pendle,"17,411.21",0.6,7
E07000123,Preston,"22,112.53",0.8,9
E07000124,Ribble Valley,"7,104.07",0.1,2
E07000125,Rossendale,"17,384.17",0.6,7
E07000126,South Ribble,"12,554.27",0.3,4
E07000127,West Lancashire,"10,655.06",0.2,3
E07000128,Wyre,"11,549.25",0.3,4
E07000129,Blaby,"13,180.84",0.3,4
E07000130,Charnwood,"14,324.48",0.4,5
E07000131,Harborough,"8,276.84",0.1,2
E07000132,Hinckley and Bosworth,"13,583.84",0.4,5
E07000133,Melton,"9,808.48",0.2,3
E07000134,North West Leicestershire,"12,298.05",0.3,4
E07000135,Oadby and Wigston,"10,678.16",0.2,3
E07000136,Boston,"9,916.05",0.2,3
E07000137,East Lindsey,"9,450.48",0.2,3
E07000138,Lincoln,"17,976.02",0.6,7
E07000139,North Kesteven,"2,717.71",0,1
E07000140,South Holland,"7,097.19",0.1,2
E07000141,South Kesteven,"6,257.32",0,1
E07000142,West Lindsey,"7,859.40",0.1,2
E07000143,Breckland,"9,236.09",0.2,3
E07000144,Broadland,"4,627.53",0,1
E07000145,Great Yarmouth,"16,674.71",0.6,7
E07000146,King's Lynn and West Norfolk,"9,148.28",0.2,3
E07000147,North Norfolk,"4,506.51",0,1
E07000148,Norwich,"19,681.52",0.7,8
E07000149,South Norfolk,"5,941.15",0,1
E07000150,Corby,"16,457.19",0.6,7
E07000151,Daventry,"14,223.79",0.4,5
E07000152,East Northamptonshire,"11,895.24",0.3,4
E07000153,Kettering,"16,310.83",0.6,7
E07000154,Northampton,"22,036.23",0.8,9
E07000155,South Northamptonshire,"7,418.51",0.1,2
E07000156,Wellingborough,"18,991.50",0.7,8
E07000163,Craven,"4,414.40",0,1
E07000164,Hambleton,"3,986.17",0,1
E07000165,Harrogate,"6,352.38",0,1
E07000166,Richmondshire,"2,774.38",0,1
E07000167,Ryedale,"2,917.73",0,1
E07000168,Scarborough,"11,546.14",0.3,4
E07000169,Selby,"7,499.07",0.1,2
E07000170,Ashfield,"18,896.96",0.7,8
E07000171,Bassetlaw,"16,220.74",0.5,6
E07000172,Broxtowe,"13,280.14",0.3,4
E07000173,Gedling,"11,315.61",0.3,4
E07000174,Mansfield,"18,737.62",0.7,8
E07000175,Newark and Sherwood,"12,662.71",0.3,4
E07000176,Rushcliffe,"5,374.25",0,1
E07000177,Cherwell,"11,083.19",0.2,3
E07000178,Oxford,"16,068.30",0.5,6
E07000179,South Oxfordshire,"7,181.47",0.1,2
E07000180,Vale of White Horse,"4,967.31",0,1
E07000181,West Oxfordshire,"4,795.19",0,1
E07000187,Mendip,"13,371.72",0.4,5
E07000188,Sedgemoor,"15,049.75",0.5,6
E07000189,South Somerset,"12,375.17",0.3,4
E07000192,Cannock Chase,"14,198.59",0.4,5
E07000193,East Staffordshire,"13,813.02",0.4,5
E07000194,Lichfield,"8,784.86",0.1,2
E07000195,Newcastle-under-Lyme,"14,340.94",0.4,5
E07000196,South Staffordshire,"10,987.54",0.2,3
E07000197,Stafford,"9,713.51",0.2,3
E07000198,Staffordshire Moorlands,"9,192.58",0.2,3
E07000199,Tamworth,"17,463.19",0.6,7
E07000200,Babergh,"11,650.41",0.3,4
E07000202,Ipswich,"21,556.09",0.8,9
E07000203,Mid Suffolk,"8,688.97",0.1,2
E07000207,Elmbridge,"13,365.62",0.3,4
E07000208,Epsom and Ewell,"15,562.24",0.5,6
E07000209,Guildford,"9,974.96",0.2,3
E07000210,Mole Valley,"9,876.57",0.2,3
E07000211,Reigate and Banstead,"13,577.14",0.4,5
E07000212,Runnymede,"15,010.36",0.5,6
E07000213,Spelthorne,"17,097.01",0.6,7
E07000214,Surrey Heath,"8,588.34",0.1,2
E07000215,Tandridge,"17,815.75",0.6,7
E07000216,Waverley,"7,297.95",0.1,2
E07000217,Woking,"13,392.76",0.4,5
E07000218,North Warwickshire,"15,408.39",0.5,6
E07000219,Nuneaton and Bedworth,"20,106.53",0.7,8
E07000220,Rugby,"15,608.10",0.5,6
E07000221,Stratford-on-Avon,"9,830.88",0.2,3
E07000222,Warwick,"13,767.60",0.4,5
E07000223,Adur,"11,667.59",0.3,4
E07000224,Arun,"13,282.76",0.3,4
E07000225,Chichester,"8,531.17",0.1,2
E07000226,Crawley,"17,385.42",0.6,7
E07000227,Horsham,"7,508.00",0.1,2
E07000228,Mid Sussex,"8,165.18",0.1,2
E07000229,Worthing,"11,111.49",0.2,3
E07000234,Bromsgrove,"14,738.23",0.4,5
E07000235,Malvern Hills,"10,604.27",0.2,3
E07000236,Redditch,"15,806.47",0.5,6
E07000237,Worcester,"17,247.62",0.6,7
E07000238,Wychavon,"12,244.91",0.3,4
E07000239,Wyre Forest,"17,417.81",0.6,7
E07000240,St Albans,"13,142.91",0.3,4
E07000241,Welwyn Hatfield,"14,732.37",0.4,5
E07000242,East Hertfordshire,"11,183.16",0.3,4
E07000243,Stevenage,"18,718.69",0.7,8
E07000244,East Suffolk,"11,322.14",0.3,4
E07000245,West Suffolk,"12,690.62",0.3,4
E07000246,Somerset West and Taunton,"13,451.67",0.4,5
E08000001,Bolton,"24,179.61",0.9,10
E08000002,Bury,"21,587.76",0.8,9
E08000003,Manchester,"29,143.59",0.9,10
E08000004,Oldham,"26,035.36",0.9,10
E08000005,Rochdale,"27,308.41",0.9,10
E08000006,Salford,"24,368.71",0.9,10
E08000007,Stockport,"20,734.92",0.7,8
E08000008,Tameside,"25,282.55",0.9,10
E08000009,Trafford,"15,617.37",0.5,6
E08000010,Wigan,"20,732.80",0.7,8
E08000011,Knowsley,"19,403.49",0.7,8
E08000012,Liverpool,"23,448.06",0.9,10
E08000013,St. Helens,"18,932.66",0.7,8
E08000014,Sefton,"15,157.33",0.5,6
E08000015,Wirral,"15,864.22",0.5,6
E08000016,Barnsley,"22,772.30",0.9,10
E08000017,Doncaster,"24,446.90",0.9,10
E08000018,Rotherham,"21,961.10",0.8,9
E08000019,Sheffield,"20,834.75",0.8,9
E08000021,Newcastle upon Tyne,"21,490.68",0.8,9
E08000022,North Tyneside,"17,969.27",0.6,7
E08000023,South Tyneside,"20,670.52",0.7,8
E08000024,Sunderland,"21,174.53",0.8,9
E08000025,Birmingham,"20,802.84",0.8,9
E08000026,Coventry,"17,482.19",0.6,7
E08000027,Dudley,"14,958.02",0.5,6
E08000028,Sandwell,"20,248.91",0.7,8
E08000029,Solihull,"14,762.94",0.5,6
E08000030,Walsall,"18,832.16",0.7,8
E08000031,Wolverhampton,"17,506.54",0.6,7
E08000032,Bradford,"26,147.66",0.9,10
E08000033,Calderdale,"23,277.21",0.9,10
E08000034,Kirklees,"22,215.03",0.8,9
E08000035,Leeds,"23,334.60",0.9,10
E08000036,Wakefield,"22,522.64",0.8,9
E08000037,Gateshead,"20,698.20",0.7,8
E09000001,City of London,"1,234.77",0,1
E09000002,Barking and Dagenham,"23,668.31",0.9,10
E09000003,Barnet,"17,479.54",0.6,7
E09000004,Bexley,"14,596.54",0.4,5
E09000005,Brent,"21,996.41",0.8,9
E09000006,Bromley,"15,906.40",0.5,6
E09000007,Camden,"20,400.70",0.7,8
E09000008,Croydon,"20,068.76",0.7,8
E09000009,Ealing,"19,489.68",0.7,8
E09000010,Enfield,"19,084.38",0.7,8
E09000011,Greenwich,"22,514.66",0.8,9
E09000012,Hackney,"24,250.45",0.9,10
E09000013,Hammersmith and Fulham,"21,048.91",0.8,9
E09000014,Haringey,"25,422.81",0.9,10
E09000015,Harrow,"14,342.34",0.4,5
E09000016,Havering,"18,056.27",0.6,7
E09000017,Hillingdon,"19,392.72",0.7,8
E09000018,Hounslow,"21,438.87",0.8,9
E09000019,Islington,"24,433.60",0.9,10
E09000020,Kensington and Chelsea,"20,751.84",0.7,8
E09000021,Kingston upon Thames,"11,848.62",0.3,4
E09000022,Lambeth,"23,226.80",0.9,10
E09000023,Lewisham,"21,786.68",0.8,9
E09000024,Merton,"15,738.49",0.5,6
E09000025,Newham,"22,834.54",0.9,10
E09000026,Redbridge,"20,354.91",0.7,8
E09000027,Richmond upon Thames,"15,404.28",0.5,6
E09000028,Southwark,"22,487.67",0.8,9
E09000029,Sutton,"14,074.43",0.4,5
E09000030,Tower Hamlets,"22,835.70",0.9,10
E09000031,Waltham Forest,"21,961.66",0.8,9
E09000032,Wandsworth,"17,975.90",0.6,7
E09000033,Westminster,"17,774.94",0.6,7